timestamp,exchange,period,instrument,base,quote,price
2022-11-03 17:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.21211493787
2022-11-03 17:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.51131261858
2022-11-03 18:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1543.13292090913
2022-11-03 18:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.21127368738
2022-11-03 18:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.93473331708
2022-11-03 18:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.95871040616
2022-11-03 19:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.81659086324
2022-11-03 19:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.42547321656
2022-11-03 19:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.45620183031
2022-11-03 19:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.76280633902
2022-11-03 20:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.97132036822
2022-11-03 20:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1539.17964580981
2022-11-03 20:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.82674654643
2022-11-03 20:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.19886543138
2022-11-03 21:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.17677765116
2022-11-03 21:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.46342485078
2022-11-03 21:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.53822786228
2022-11-03 21:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.44532571382
2022-11-03 22:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.98295209091
2022-11-03 22:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1538.92695673798
2022-11-03 22:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1531.18213843688
2022-11-03 22:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1532.5329861158
2022-11-03 23:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1531.61777996853
2022-11-03 23:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1532.06314060601
2022-11-03 23:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1527.14215585143
2022-11-03 23:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1529.78971451354
2022-11-04 00:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1530.64161768909
2022-11-04 00:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1529.95501648021
2022-11-04 00:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1537.45415077959
2022-11-04 00:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1537.37915657806
2022-11-04 01:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1538.08646314734
2022-11-04 01:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.28153526304
2022-11-04 01:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1537.94335017412
2022-11-04 01:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1538.84950279387
2022-11-04 02:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1538.27917512921
2022-11-04 02:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.47608394867
2022-11-04 02:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.4019826274
2022-11-04 02:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.44295063027
2022-11-04 03:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.2891269254
2022-11-04 03:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1539.59548654892
2022-11-04 03:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.20420585447
2022-11-04 03:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.23942999896
2022-11-04 04:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1548.53182222043
2022-11-04 04:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.85854306581
2022-11-04 04:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.35438834756
2022-11-04 04:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1550.14212521387
2022-11-04 05:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1549.12928238307
2022-11-04 05:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1548.73673962013
2022-11-04 05:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1551.24907756322
2022-11-04 05:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1550.79793127613
2022-11-04 06:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1560.57643789113
2022-11-04 06:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1565.89473016359
2022-11-04 06:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1574.7260156419
2022-11-04 06:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1581.79046795673
2022-11-04 07:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1580.60222085855
2022-11-04 07:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1580.87986218361
2022-11-04 07:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1577.64034854118
2022-11-04 07:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1578.90070988818
2022-11-04 08:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1585.64632834864
2022-11-04 08:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1585.73818865963
2022-11-04 08:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1583.62876774857
2022-11-04 08:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1583.67651689162
2022-11-04 09:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1581.1687832501
2022-11-04 09:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1579.37343174433
2022-11-04 09:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1580.89258512701
2022-11-04 09:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1582.73153221814
2022-11-04 10:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1580.12825975352
2022-11-04 10:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1579.17131033154
2022-11-04 10:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1576.71053087989
2022-11-04 10:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1579.51429680898
2022-11-04 11:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1589.66892307117
2022-11-04 11:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1588.91679538352
2022-11-04 11:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1588.41217971655
2022-11-04 11:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1582.32270034713
2022-11-04 12:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1578.7541620821
2022-11-04 12:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1571.38979770181
2022-11-04 12:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1572.7297830612
2022-11-04 12:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1589.27179925488
2022-11-04 13:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1600.16308374425
2022-11-04 13:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1613.03531324249
